Time,GPS_Data.seq,GPS_Data.stamp.secs,GPS_Data.stamp.nsecs,GPS_Data.frame_id,lat,lon,alt,utm_easting,utm_northing,zone,letter
1646524462.227305,0,0,0,,42.202417999999994,-71.053789,15.4,330446.58913676173,4674292.678323774,19,T
1646524463.2250228,0,0,0,,42.202417999999994,-71.053789,15.4,330446.58913676173,4674292.678323774,19,T
1646524464.2262967,0,0,0,,42.202417999999994,-71.053789,15.4,330446.58913676173,4674292.678323774,19,T
1646524465.2239676,0,0,0,,42.202417999999994,-71.053789,15.4,330446.58913676173,4674292.678323774,19,T
1646524466.2236152,0,0,0,,42.202417999999994,-71.053789,15.4,330446.58913676173,4674292.678323774,19,T
1646524467.222914,0,0,0,,42.202417999999994,-71.053789,15.4,330446.58913676173,4674292.678323774,19,T
1646524468.2257543,0,0,0,,42.202417999999994,-71.053789,15.4,330446.58913676173,4674292.678323774,19,T
1646524469.2226586,0,0,0,,42.202417999999994,-71.053789,15.4,330446.58913676173,4674292.678323774,19,T
1646524470.2261324,0,0,0,,42.202417999999994,-71.053789,15.4,330446.58913676173,4674292.678323774,19,T
1646524471.2228148,0,0,0,,42.202417999999994,-71.053789,15.4,330446.58913676173,4674292.678323774,19,T
1646524472.2260695,0,0,0,,42.202417999999994,-71.053789,15.4,330446.58913676173,4674292.678323774,19,T
1646524473.2226162,0,0,0,,42.202417999999994,-71.053789,15.4,330446.58913676173,4674292.678323774,19,T
1646524474.222974,0,0,0,,42.202417999999994,-71.053789,15.4,330446.58913676173,4674292.678323774,19,T
1646524475.228233,0,0,0,,42.202417999999994,-71.053789,15.4,330446.58913676173,4674292.678323774,19,T
1646524476.224887,0,0,0,,42.202417999999994,-71.053789,15.5,330446.58913676173,4674292.678323774,19,T
1646524477.2214923,0,0,0,,42.202417999999994,-71.053789,15.5,330446.58913676173,4674292.678323774,19,T
1646524478.221991,0,0,0,,42.202417999999994,-71.053789,15.5,330446.58913676173,4674292.678323774,19,T
1646524479.2278895,0,0,0,,42.202417999999994,-71.053789,15.5,330446.58913676173,4674292.678323774,19,T
1646524480.2224798,0,0,0,,42.202417999999994,-71.053789,15.5,330446.58913676173,4674292.678323774,19,T
1646524481.221994,0,0,0,,42.202417999999994,-71.053789,15.5,330446.58913676173,4674292.678323774,19,T
1646524482.2232602,0,0,0,,42.202417999999994,-71.053789,15.5,330446.58913676173,4674292.678323774,19,T
1646524483.2240937,0,0,0,,42.202417999999994,-71.053789,15.5,330446.58913676173,4674292.678323774,19,T
1646524484.222612,0,0,0,,42.202417999999994,-71.053789,15.5,330446.58913676173,4674292.678323774,19,T
1646524485.2264624,0,0,0,,42.202417999999994,-71.053789,15.5,330446.58913676173,4674292.678323774,19,T
1646524486.2255318,0,0,0,,42.202417999999994,-71.053789,15.5,330446.58913676173,4674292.678323774,19,T
1646524487.2218354,0,0,0,,42.202417999999994,-71.053789,15.5,330446.58913676173,4674292.678323774,19,T
1646524488.222365,0,0,0,,42.202417999999994,-71.053789,15.5,330446.58913676173,4674292.678323774,19,T
